alpha.water,p_rgh,total(p)_coeff,p,U:0,U:1,U:2,x/c,Points:0,Points:1,Points:2,Point ID,Block Number
1,19641,-0.0525726,19641,0,0,0,0.3,0.3,-0.1,-0.060007,0,2
1,19641,-0.0525726,19641,0,0,0,0.3,0.3,0.1,-0.060007,1,2
1,19712.3,-0.046879,19712.3,0,0,0,0.282458,0.282458,0.1,-0.0599394,2,2
1,19712.3,-0.046879,19712.3,0,0,0,0.282458,0.282458,-0.1,-0.0599394,3,2
1,19793.2,-0.0404269,19793.2,0,0,0,0.26575,0.26575,0.1,-0.0597349,4,2
1,19793.2,-0.0404269,19793.2,0,0,0,0.26575,0.26575,-0.1,-0.0597349,5,2
1,19886.6,-0.0329818,19886.6,0,0,0,0.249838,0.249838,0.1,-0.0594034,6,2
1,19886.6,-0.0329818,19886.6,0,0,0,0.249838,0.249838,-0.1,-0.0594034,7,2
1,19991.7,-0.0245966,19991.7,0,0,0,0.234684,0.234684,0.1,-0.0589537,8,2
1,19991.7,-0.0245966,19991.7,0,0,0,0.234684,0.234684,-0.1,-0.0589537,9,2
1,20109,-0.0152356,20109,0,0,0,0.220255,0.220255,0.1,-0.0583944,10,2
1,20109,-0.0152356,20109,0,0,0,0.220255,0.220255,-0.1,-0.0583944,11,2
1,20239,-0.00486777,20239,0,0,0,0.206516,0.206516,0.1,-0.0577335,12,2
1,20239,-0.00486777,20239,0,0,0,0.206516,0.206516,-0.1,-0.0577335,13,2
1,20381.5,0.00650321,20381.5,0,0,0,0.193436,0.193436,0.1,-0.0569786,14,2
1,20381.5,0.00650321,20381.5,0,0,0,0.193436,0.193436,-0.1,-0.0569786,15,2
1,20537.3,0.0189296,20537.3,0,0,0,0.180985,0.180985,0.1,-0.0561368,16,2
1,20537.3,0.0189296,20537.3,0,0,0,0.180985,0.180985,-0.1,-0.0561368,17,2
1,20706.8,0.0324484,20706.8,0,0,0,0.169133,0.169133,0.1,-0.0552147,18,2
1,20706.8,0.0324484,20706.8,0,0,0,0.169133,0.169133,-0.1,-0.0552147,19,2
1,20890.1,0.0470699,20890.1,0,0,0,0.157854,0.157854,0.1,-0.0542186,20,2
1,20890.1,0.0470699,20890.1,0,0,0,0.157854,0.157854,-0.1,-0.0542186,21,2
1,21088,0.0628607,21088,0,0,0,0.147122,0.147122,0.1,-0.0531537,22,2
1,21088,0.0628607,21088,0,0,0,0.147122,0.147122,-0.1,-0.0531537,23,2
1,21301.5,0.0798908,21301.5,0,0,0,0.136911,0.136911,0.1,-0.0520255,24,2
1,21301.5,0.0798908,21301.5,0,0,0,0.136911,0.136911,-0.1,-0.0520255,25,2
1,21530.7,0.0981743,21530.7,0,0,0,0.127198,0.127198,0.1,-0.0508387,26,2
1,21530.7,0.0981743,21530.7,0,0,0,0.127198,0.127198,-0.1,-0.0508387,27,2
1,21775.8,0.117731,21775.8,0,0,0,0.117961,0.117961,0.1,-0.0495975,28,2
1,21775.8,0.117731,21775.8,0,0,0,0.117961,0.117961,-0.1,-0.0495975,29,2
1,22039.1,0.138735,22039.1,0,0,0,0.109177,0.109177,0.1,-0.0483057,30,2
1,22039.1,0.138735,22039.1,0,0,0,0.109177,0.109177,-0.1,-0.0483057,31,2
1,22321.9,0.161291,22321.9,0,0,0,0.100827,0.100827,0.1,-0.0469665,32,2
1,22321.9,0.161291,22321.9,0,0,0,0.100827,0.100827,-0.1,-0.0469665,33,2
1,22623.9,0.185382,22623.9,0,0,0,0.0928917,0.0928917,0.1,-0.0455829,34,2
1,22623.9,0.185382,22623.9,0,0,0,0.0928917,0.0928917,-0.1,-0.0455829,35,2
1,22946.8,0.211139,22946.8,0,0,0,0.0853528,0.0853528,0.1,-0.0441572,36,2
1,22946.8,0.211139,22946.8,0,0,0,0.0853528,0.0853528,-0.1,-0.0441572,37,2
1,23293.4,0.238791,23293.4,0,0,0,0.078193,0.078193,0.1,-0.0426912,38,2
1,23293.4,0.238791,23293.4,0,0,0,0.078193,0.078193,-0.1,-0.0426912,39,2
1,23665.7,0.268493,23665.7,0,0,0,0.0713962,0.0713962,0.1,-0.0411867,40,2
1,23665.7,0.268493,23665.7,0,0,0,0.0713962,0.0713962,-0.1,-0.0411867,41,2
1,24064.9,0.300339,24064.9,0,0,0,0.0649473,0.0649473,0.1,-0.0396443,42,2
1,24064.9,0.300339,24064.9,0,0,0,0.0649473,0.0649473,-0.1,-0.0396443,43,2
1,24493.2,0.334505,24493.2,0,0,0,0.0588321,0.0588321,0.1,-0.0380645,44,2
1,24493.2,0.334505,24493.2,0,0,0,0.0588321,0.0588321,-0.1,-0.0380645,45,2
